2025-11-14 15:42:47 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-14 15:42:48 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-14 15:42:49 | INFO | pipeline | Pipeline stopped.
2025-11-16 18:59:10 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:00:35 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-16 19:00:36 | INFO | pipeline | Pipeline stopped.
2025-11-16 19:10:54 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:11:31 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-16 19:11:31 | INFO | pipeline | Pipeline stopped.
2025-11-16 19:21:27 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:22:17 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-16 19:22:18 | INFO | pipeline | Pipeline stopped.
2025-11-16 19:31:59 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:32:10 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-16 19:32:11 | INFO | pipeline | Pipeline stopped.
2025-11-16 19:33:52 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:35:14 | INFO | pipeline | Received signal 2; stopping pipeline.
2025-11-16 19:35:14 | INFO | pipeline | Pipeline stopped.
2025-11-16 19:37:03 | INFO | pipeline | Pipeline started. Press Ctrl+C to exit.
2025-11-16 19:42:58 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:09 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:19 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:29 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:39 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:49 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:43:59 | WARNING | pipeline | Frame grab failed; retrying...
2025-11-16 19:44:09 | WARNING | pipeline | Frame grab failed; retrying...
